income,loan_amount,payment_delays,employment_length,age,default
64901.42,38286.23,4.0,3.3,39,0
45852.07,12616.86,7.0,4.2,32,1
69430.66,34640.5,,2.2,26,0
95690.9,27945.8,7.0,6.6,28,0
42975.4,20321.05,4.0,8.0,33,0
42975.89,24071.22,3.0,2.0,44,0
97376.38,33280.37,8.0,5.1,40,0
,15604.61,0.0,5.0,19,0
35915.77,36001.27,4.0,5.8,58,1
66276.8,39599.45,3.0,5.3,24,0
36097.47,20756.33,,,59,0
36028.11,31549.61,2.0,7.4,51,0
57258.87,22474.82,9.0,6.1,69,1
10000.0,7178.03,1.0,1.9,33,0
10000.0,17544.13,7.0,9.5,39,0
33131.37,9937.24,,5.8,18,0
19615.07,25013.52,3.0,1.2,40,0
59427.42,19859.85,7.0,6.7,36,1
22759.28,5551.86,2.0,8.9,61,0
10000.0,3000.0,4.0,4.9,47,0
93969.46,32523.33,0.0,0.5,62,0
43226.71,26852.36,7.0,4.0,68,0
52025.85,38782.53,0.0,7.0,60,0
10000.0,3000.0,8.0,5.9,43,0
33668.52,31825.69,7.0,11.2,36,0
53327.68,20793.95,,3.3,43,0
15470.19,17477.61,7.0,8.5,65,0
61270.94,27311.99,9.0,3.3,58,0
31980.84,21292.15,8.0,,40,1
41249.19,9249.84,,8.1,24,0
31948.8,28548.17,0.0,4.3,48,0
105568.35,44458.88,6.0,11.5,39,0
49595.08,34485.79,0.0,1.4,33,0
18268.67,23528.49,9.0,,54,1
74676.35,27864.06,1.0,7.4,43,0
13374.69,3674.94,,3.9,52,0
56265.91,30738.53,5.0,3.3,48,1
10000.0,17385.41,3.0,2.5,64,1
10154.42,17006.37,1.0,5.0,28,0
55905.84,30587.72,6.0,0.0,51,1
72154.0,28979.68,5.0,0.0,43,0
55141.05,21588.03,7.0,,63,0
,12506.4,7.0,4.3,31,0
,23134.84,3.0,7.9,39,0
10000.0,31733.69,6.0,5.2,60,1
28404.67,9654.48,,9.7,60,0
36180.84,32267.46,9.0,7.6,29,1
81713.67,38487.99,,5.0,67,0
60308.55,13061.71,8.0,5.5,56,0
10000.0,23085.2,0.0,2.3,53,1
59722.52,27125.82,6.0,7.3,47,0
38447.53,21854.99,0.0,2.4,62,0
29692.34,40900.62,2.0,2.8,25,0
,38083.29,1.0,2.8,53,0
80929.99,21904.75,4.0,7.0,36,0
77938.4,36985.05,8.0,10.2,30,0
24823.47,10796.24,7.0,1.7,69,1
40723.63,14397.25,5.0,2.9,35,1
59937.9,28591.64,9.0,3.4,59,1
79266.35,42590.44,8.0,6.8,66,1
35624.77,8124.95,0.0,2.9,42,0
44430.23,18848.16,1.0,5.8,30,0
16809.95,30120.33,,3.1,50,1
14113.8,8414.46,4.0,3.4,64,1
74375.77,30189.17,8.0,5.9,51,0
90687.2,30030.85,3.0,,34,0
47839.7,37333.31,9.0,3.8,52,1
80105.99,34209.64,2.0,7.2,66,0
60849.08,24182.65,5.0,5.5,25,0
30646.41,12763.26,9.0,4.4,42,1
60841.87,48219.09,8.0,7.5,66,1
96141.1,33470.63,5.0,2.7,24,0
48925.22,22522.16,7.0,4.0,60,1
,39381.49,5.0,5.8,46,0
10000.0,24188.67,1.0,10.6,32,0
74657.08,15931.42,6.0,,58,1
52611.41,23622.27,,2.8,55,0
41029.78,12482.55,8.0,3.8,27,1
52752.82,19905.14,,5.5,55,0
10000.0,29734.9,6.0,5.2,40,1
43409.84,35216.2,0.0,3.3,46,0
60713.38,33030.78,3.0,4.8,37,0
94336.82,19867.36,,0.8,64,0
34451.89,23757.4,5.0,4.5,25,1
25745.19,14393.04,0.0,3.0,31,0
34947.29,31908.59,6.0,7.5,28,0
77462.06,24858.67,6.0,8.1,35,0
,18692.21,3.0,3.6,59,0
34107.19,25428.15,6.0,4.3,31,1
65398.02,40214.64,7.0,7.1,56,1
52912.33,36261.85,4.0,0.0,24,1
79059.35,43804.55,,5.4,69,0
28938.41,33872.27,8.0,7.3,68,1
40170.14,39360.74,3.0,4.9,29,0
38236.76,24453.6,9.0,5.7,44,0
10000.0,12553.71,0.0,6.4,34,0
58883.61,18521.7,9.0,1.8,48,1
57831.66,38513.23,,7.2,35,0
50153.4,23305.52,1.0,5.5,19,0
42962.39,14493.61,8.0,4.9,47,1
,22226.18,7.0,4.3,49,0
37380.64,8476.13,9.0,11.8,46,0
39718.56,12143.05,8.0,2.0,33,1
25931.68,22359.56,8.0,5.0,68,1
45161.43,32852.56,2.0,8.5,36,0
,24115.05,1.0,,44,0
106585.58,33992.06,3.0,3.2,58,0
55237.33,33913.9,8.0,0.4,42,1
57726.51,34835.64,2.0,6.2,66,0
,10553.32,,8.0,29,0
10000.0,31831.3,4.0,5.2,30,1
49204.58,21569.9,1.0,4.2,38,0
51806.91,17895.88,4.0,7.5,51,0
123897.26,35095.51,7.0,8.7,45,1
44229.17,10199.44,9.0,4.0,32,1
59046.42,52280.69,8.0,6.7,65,1
48958.65,11739.79,7.0,8.6,56,0
14939.66,3987.93,9.0,2.2,30,1
84284.68,29240.93,1.0,6.5,37,0
72557.99,15712.99,2.0,3.5,27,0
73730.96,30966.36,9.0,3.7,62,1
22718.38,35960.88,,6.3,27,0
92083.83,35068.87,5.0,4.2,45,0
10000.0,20388.32,3.0,8.0,66,0
67605.71,25611.56,,9.4,36,0
115713.67,27732.78,8.0,5.7,42,1
20283.91,16133.72,1.0,9.3,65,0
33011.07,32148.33,9.0,5.5,56,1
52989.54,39173.08,,2.3,46,0
34895.73,22395.26,5.0,6.3,36,0
10000.0,25774.98,7.0,4.4,62,1
52056.89,17663.45,6.0,6.2,24,0
18130.89,12474.15,1.0,6.8,68,0
64207.77,13841.55,1.0,9.7,24,0
22417.27,30574.73,1.0,5.1,34,0
96498.03,28539.78,0.0,4.8,24,0
26502.4,7020.71,1.0,2.4,49,0
40338.15,28082.17,,6.6,34,0
74405.52,43314.72,1.0,3.9,64,0
13074.07,13903.13,4.0,5.1,48,0
56823.8,12364.76,9.0,6.5,22,1
89214.28,29603.81,,6.6,21,0
10000.0,19390.68,4.0,0.0,50,1
55539.02,32061.74,2.0,0.0,43,0
57796.48,34326.84,,8.1,28,0
73454.69,30450.27,,0.0,19,0
12891.48,14991.56,,6.9,34,0
10386.3,23933.9,,4.6,40,1
65658.25,14900.28,9.0,6.5,64,1
58909.54,17093.91,,9.0,66,0
57514.79,19231.26,,8.0,63,0
60393.45,22660.45,7.0,6.5,61,1
,7090.79,5.0,7.3,23,1
56967.61,36115.06,4.0,1.6,36,0
58792.17,14637.17,9.0,8.6,41,0
28569.46,6713.89,7.0,5.1,30,0
105973.24,46060.15,5.0,2.3,25,1
64214.99,32998.42,4.0,1.6,46,0
14260.9,17245.73,9.0,7.4,50,0
69696.61,33622.82,2.0,4.0,34,0
20759.55,20238.26,,5.2,21,1
73612.54,41358.67,5.0,7.6,59,0
84757.87,24267.78,1.0,9.1,29,0
25379.53,37427.04,0.0,10.0,27,0
78901.28,40256.63,1.0,3.1,54,0
62383.43,21411.94,1.0,3.4,40,0
,22272.79,9.0,0.3,42,1
,37845.27,2.0,9.6,64,0
42638.36,12291.07,4.0,6.0,51,0
27387.92,18422.96,9.0,0.6,54,1
23314.57,33122.39,6.0,2.8,39,1
25525.69,21930.07,6.0,3.2,39,0
47686.95,45480.46,9.0,2.9,39,1
60234.56,19347.63,3.0,2.3,38,0
58300.72,31183.78,1.0,2.3,40,0
74815.5,24639.25,5.0,3.9,42,0
50390.06,23007.52,1.0,10.6,49,0
93606.02,38724.19,,2.1,68,0
42060.3,16075.42,7.0,5.1,31,1
131605.07,32700.03,,1.1,25,0
68770.02,24095.18,0.0,3.2,39,0
24285.27,14476.93,6.0,2.9,35,1
17873.23,8476.8,9.0,0.0,45,1
64474.17,42341.27,6.0,0.7,28,1
43296.12,20620.95,7.0,7.4,25,0
71420.01,37585.34,,3.0,49,0
64197.13,35423.91,,6.0,45,0
47815.13,34812.09,,3.0,49,0
24596.19,6560.57,6.0,7.5,42,0
10000.0,13505.12,2.0,0.4,23,0
36604.55,29189.24,7.0,5.6,28,0
75691.96,23984.85,4.0,1.3,67,1
56422.81,41163.33,,1.9,56,0
12627.84,5243.73,6.0,0.6,27,1
55195.43,34243.65,1.0,3.2,39,0
61559.52,22847.29,3.0,2.5,43,0
23484.28,30203.32,3.0,0.1,35,1
54611.75,28618.11,9.0,0.5,28,0
51746.26,16894.75,,3.4,48,0
,26341.32,,8.8,18,0
60733.62,13146.72,6.0,4.6,42,0
66823.54,24885.93,,3.8,27,0
82491.54,26940.51,4.0,2.8,67,0
81614.06,35645.14,9.0,0.0,60,1
10000.0,3000.0,6.0,7.5,54,0
,21705.34,,4.8,66,0
65451.06,31817.37,9.0,3.0,31,1
,20140.03,0.0,0.0,30,0
65451.43,25051.51,6.0,6.4,36,0
165581.94,48467.46,,4.9,32,0
67126.72,37887.5,9.0,3.4,30,1
84066.97,17813.39,2.0,7.3,60,0
78620.05,30151.35,2.0,4.1,42,0
69541.74,33705.91,8.0,5.0,57,0
40541.92,29363.66,6.0,10.4,35,0
72769.08,27368.1,5.0,10.7,37,0
26815.24,26100.41,2.0,7.6,21,0
42895.44,22843.41,1.0,5.6,35,0
35439.09,33356.11,9.0,0.2,50,1
52456.22,17139.73,2.0,4.4,33,0
119439.76,32259.69,9.0,2.3,19,1
10000.0,21615.53,,2.0,26,1
70587.81,35580.76,2.0,,28,0
10000.0,22023.04,8.0,7.9,24,1
35842.04,17911.56,9.0,7.4,42,0
82668.52,27434.0,7.0,4.9,32,1
51928.4,25264.55,3.0,9.2,59,0
17667.66,7515.91,1.0,0.9,26,0
,12542.47,1.0,5.3,52,0
70387.93,43691.78,0.0,5.4,40,0
28089.0,18953.52,,6.7,38,0
56493.76,21057.82,2.0,13.1,51,0
51367.16,19479.59,4.0,3.7,56,0
30451.99,23998.87,5.0,2.0,61,1
,58943.43,6.0,6.5,63,1
69017.57,40306.56,7.0,3.3,36,0
,3901.96,0.0,4.4,27,0
55593.63,38950.66,1.0,8.5,40,0
30146.41,12688.84,5.0,3.4,20,1
75573.0,23636.01,4.0,7.3,58,0
26224.38,15580.37,,8.1,19,0
46557.91,12566.51,5.0,3.4,35,0
65149.62,40888.1,3.0,2.8,37,0
75972.66,24396.51,9.0,12.5,62,0
13991.11,3798.22,5.0,6.2,29,0
,14520.21,9.0,0.0,35,1
35751.64,24125.57,1.0,3.4,41,0
30400.12,7080.02,0.0,5.2,31,0
102963.63,38290.47,2.0,3.2,45,0
62149.45,18546.51,0.0,7.5,29,0
12173.48,28596.19,3.0,6.5,69,0
77535.86,35059.5,5.0,9.8,22,0
113664.69,38535.71,5.0,2.0,57,1
80973.96,17194.79,,3.6,62,0
10000.0,4103.36,7.0,7.2,19,0
35472.98,16310.85,5.0,6.7,66,0
88007.33,30313.53,,4.8,65,0
28769.92,36041.61,9.0,0.0,40,1
63314.58,30625.48,3.0,5.0,33,0
73239.02,25816.44,,6.4,53,0
22192.09,34189.01,0.0,7.6,30,0
48214.24,23740.84,4.0,4.2,65,1
10000.0,21344.85,3.0,,24,1
19268.37,34390.68,3.0,3.2,55,1
42422.96,30650.32,,2.0,57,0
12566.5,21937.62,8.0,8.6,68,1
98972.34,40606.85,4.0,10.2,22,0
10000.0,16347.28,4.0,,47,1
36798.67,22775.64,4.0,7.3,20,0
,11784.44,1.0,5.9,52,0
93238.2,26559.6,2.0,0.9,64,1
10000.0,16514.48,9.0,10.2,39,0
84894.91,36613.83,2.0,3.1,63,0
50306.99,20720.26,6.0,3.4,38,1
20554.74,43004.7,,4.5,47,1
63863.1,35633.72,,1.1,24,1
55971.79,28664.87,3.0,5.8,66,0
31993.49,7398.7,5.0,7.8,39,0
52094.06,24843.88,7.0,5.7,68,0
38440.59,27797.57,3.0,1.6,43,0
53405.52,24747.28,8.0,8.9,31,0
69863.92,27638.28,5.0,11.8,55,0
97580.5,32942.49,3.0,9.0,63,0
12865.54,10542.71,0.0,2.8,49,0
113991.0,25296.05,4.0,3.7,42,0
10000.0,38843.84,4.0,3.9,43,1
,14061.07,7.0,6.8,65,0
67649.52,23855.19,4.0,3.0,32,1
58429.76,29221.99,1.0,6.2,26,0
31319.01,7263.8,4.0,5.5,45,0
43756.33,39285.42,1.0,5.7,43,0
35209.97,33738.72,5.0,3.0,50,1
32319.06,7463.81,,6.7,32,0
,26865.88,1.0,4.5,47,0
60710.46,36704.83,,3.2,57,0
29212.71,20616.21,1.0,,43,0
76988.0,40393.94,3.0,1.7,26,0
59218.99,42116.64,5.0,7.4,30,0
74385.86,21584.13,2.0,8.4,42,0
68888.87,33450.79,,4.1,30,0
,7987.81,3.0,4.2,49,0
33194.57,16993.21,3.0,0.0,46,0
72418.81,30175.26,6.0,8.0,18,0
68311.11,30126.09,5.0,10.8,18,0
49372.95,16379.48,1.0,7.6,27,0
53519.82,31666.74,8.0,9.9,24,0
88329.95,18665.99,1.0,1.9,59,0
32252.86,12638.89,5.0,4.3,56,1
66412.92,39005.53,5.0,4.4,27,1
43934.22,15799.19,,2.6,30,1
43469.56,26410.16,,8.8,37,0
82963.31,47939.48,0.0,2.1,38,0
74762.49,29770.98,0.0,6.0,37,0
74405.29,43319.14,7.0,3.4,34,0
,19288.32,9.0,,30,0
50630.12,19226.88,,0.7,18,0
70458.59,31301.96,,2.4,20,0
,12823.64,1.0,2.8,57,0
59724.99,22315.76,4.0,8.1,42,0
46095.71,25664.13,4.0,4.0,58,0
52909.88,27258.15,,11.3,40,0
67854.71,25438.3,3.0,,39,0
25453.38,6090.68,0.0,6.8,50,0
112771.62,31087.15,2.0,0.0,52,1
19819.48,4963.9,7.0,7.3,65,0
13574.34,16960.12,8.0,6.0,68,0
